Nome;Modelo;Valor c desc;Valor s desc;Porcentagem desc;Avaliacao; 
Blusão Jordan Flight MVP Masculino;Casual;R$ 569,99 no Pix;R$ 599,99;5% off;;
Shorts Nike Sportswear Brasil Club Masculino;Futebol;R$ 332,49 no Pix;R$ 399,99;17% off;;
Shorts Nike Dri-FIT Run Division Challenger Masculino;Corrida;R$ 208,99 no Pix;R$ 299,99;30% off;1.0;
Nike x MMW;Casual;R$ 1130,49 no Pix;R$ 1.199,99;6% off;;
Jaqueta Nike Sportswear Masculina;Casual;R$ 1234,99 no Pix;R$ 1.299,99;5% off;;
Camisa Nike Liverpool III 2023/24 Jogador Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;;
Camiseta Nike Sportswear Masculina;Casual;R$ 161,49 no Pix;R$ 199,99;19% off;;
Regata Nike Brasil Standard Issue Masculina;Futebol;R$ 284,99 no Pix;R$ 349,99;19% off;4.7;
Regata Nike Chicago Bulls Statement Edition 2022/23 Masculina;Basquete;R$ 474,99 no Pix;R$ 699,99;32% off;5.0;
Jaqueta Nike Paris Saint-German Strike Masculina;Futebol;R$ 759,99 no Pix;R$ 799,99;5% off;;
Calça Nike Masculina;Corrida;R$ 208,99 no Pix;R$ 399,99;48% off;4.6;
Camisa Nike Holanda II 2024/25 Torcedor Pro Masculina;Futebol;R$ 379,99 no Pix;R$ 399,99;5% off;4.0;
Jaqueta Nike Paris Saint-German Masculina;Futebol;R$ 759,99 no Pix;R$ 799,99;5% off;5.0;
Jaqueta Nike SB Chore Unissex;Skate;R$ 759,99 no Pix;R$ 799,99;5% off;;
Camisa Nike Atlético de Madrid III 2023/24 Torcedor Pro Masculina;Futebol;R$ 379,99 no Pix;R$ 399,99;5% off;;
Regata Nike Court Slam Masculina;Para Jogar Tênis;R$ 313,49 no Pix;R$ 499,99;37% off;;
Regata Nike Brasil Masculina;Basquete;R$ 1899,99 no Pix;R$ 1.999,99;5% off;;
Jaqueta Nike Inglaterra I Academy Pro Masculina;Futebol;R$ 664,99 no Pix;R$ 699,99;5% off;;
Calça Nike Sportswear Corinthians Jogger Masculina;Futebol;R$ 427,49 no Pix;R$ 449,99;5% off;;
Jaqueta Nike Dri-FIT Masculina;Corrida;R$ 550,99 no Pix;R$ 749,99;27% off;5.0;
Blusão Nike Sportswear Tech Fleece Masculino;Casual;R$ 484,49 no Pix;R$ 649,99;25% off;3.5;
Jaqueta Nike Sportswear Sherpa Masculina;Casual;R$ 854,99 no Pix;R$ 899,99;5% off;3.0;
